     MetID    Y  M  D      TAM      NNM      UUM      FFM       RR
    888011 2010  1 14     -5.7      1.1     73.9      3.5      0.2
    888011 2010  1 15     -6.5      3.1     69.9      3.8      0.0
    888011 2010  1 16     -1.5      4.3     58.2      5.6      0.4
    888011 2010  1 17      0.0      7.8     53.0      5.2      0.0
    888011 2010  1 18     -2.4      7.1     62.9      3.3      0.1
    888011 2010  1 19     -3.6      5.4     80.1      1.1      3.2
    888011 2010  1 20     -6.0      3.9     74.2      3.1      0.1
    888011 2010  1 21     -4.4      4.3     64.1      3.5      0.0
    888011 2010  1 22     -3.2      5.2     56.2      4.6      0.0
    888011 2010  1 23     -2.2      7.8     62.4      3.4      0.1
    888011 2010  1 24     -3.2      6.0     73.8      1.4      0.0
    888011 2010  1 25     -7.1      5.4     82.1      1.0      0.2
    888011 2010  1 26     -7.3      7.7     83.6      1.4      0.2
    888011 2010  1 27     -1.1      6.2     83.8      3.1      8.1
    888011 2010  1 28     -1.8      5.6     71.8      2.7      9.8
    888011 2010  1 29    -11.5      3.4     79.3      1.3      0.3
    888011 2010  1 30     -7.8      7.7     85.0      1.7      0.6
    888011 2010  1 31    -10.1      5.2     74.6      3.1     17.1
    888011 2010  2  1    -15.1      6.7     81.2      1.5      0.1
    888011 2010  2  2    -13.7      2.4     78.4      2.1      3.4
    888011 2010  2  3    -16.4      3.2     73.7      2.0      0.2
    888011 2010  2  4    -13.1      5.7     75.0      2.9      0.0
    888011 2010  2  5     -2.8      6.2     73.4      3.7      1.8
    888011 2010  2  6     -1.8      7.3     82.3      1.2      0.0
    888011 2010  2  7     -8.4      3.5     84.4      1.0      0.6
    888011 2010  2  8    -11.2      2.3     82.3      1.2      0.2
    888011 2010  2  9    -13.6      1.8     76.3      1.5      0.1
    888011 2010  2 10    -14.4      4.7     75.3      1.4      0.0
    888011 2010  2 11     -8.6      5.4     85.4      1.2      2.0
    888011 2010  2 12    -12.7      2.3     80.8      1.1      1.7
    888011 2010  2 13    -13.3      1.3     79.6      1.2      0.1
    888011 2010  2 14    -10.5      5.6     79.7      0.9      0.2
    888011 2010  2 15     -3.1      7.3     70.7      1.9      0.0
    888011 2010  2 16     -2.4      7.1     65.1      2.6      0.1
    888011 2010  2 17     -4.4      7.1     62.7      3.1      0.2
    888011 2010  2 18     -4.4      6.6     57.7      3.7      0.0
    888011 2010  2 19     -7.0      3.0     55.9      4.0      0.0
    888011 2010  2 20     -9.7      6.8     57.3      4.2      0.1
    888011 2010  2 21    -11.3      7.3     67.8      2.6      0.3
    888011 2010  2 22     -8.9      7.1     83.1      1.2      9.1
    888011 2010  2 23     -8.0      4.7     80.8      1.3      9.7
    888011 2010  2 24     -7.6      7.0     83.7      1.4     12.1
    888011 2010  2 25     -5.6      7.3     73.4      2.8      6.9
    888011 2010  2 26     -3.4      6.8     77.7      2.0      0.4
    888011 2010  2 27     -5.9      5.9     69.6      2.6      0.7
    888011 2010  2 28    -10.5      2.5     74.5      1.6      0.0
    888011 2010  3  1    -14.4      2.8     73.3      1.4      0.1
    888011 2010  3  2    -12.9      4.4     77.5      1.7      0.1
    888011 2010  3  3    -11.4      4.0     79.9      1.4      3.0
    888011 2010  3  4    -15.9      1.3     77.3      1.4      1.8
    888011 2010  3  5    -10.1      6.2     82.6      1.4      1.0
    888011 2010  3  6     -8.5      6.8     83.2      1.4      9.5
    888011 2010  3  7     -4.1      7.5     87.7      1.2      2.5
    888011 2010  3  8     -2.0      7.2     88.3      1.7      1.3
    888011 2010  3  9     -1.0      7.2     83.7      1.5      1.4
    888011 2010  3 10     -1.4      7.4     88.5      2.0      2.4
    888011 2010  3 11     -1.3      7.7     91.0      1.6      3.9
    888011 2010  3 12     -0.8      6.1     78.1      2.6     10.3
    888011 2010  3 13     -1.1      6.9     74.4      3.5      1.4
    888011 2010  3 14     -2.5      5.8     68.7      3.1      0.9
    888011 2010  3 15     -3.4      5.7     68.9      2.7      0.4
